snapshot_date,year,month_number,year_month,month_start,store_id,store_name,city,product_id,product_name,category,stock_qty,incoming_qty,expected_available_qty,avg_daily_demand_14d,avg_daily_sales_14d,stockout_days_14d,lost_sales_qty_14d,lead_time_days,days_of_supply,expected_days_of_supply,risk_level,risk_level_ru,risk_sort
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR018,Product_18,Beverages,38,0,38,23.07,23.07,0.0,0.0,10,1.6,1.6,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR019,Product_19,Snacks,6,112,118,9.21,8.86,1.0,5.0,5,0.7,12.8,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR020,Product_20,Household,4,0,4,23.57,23.57,0.0,0.0,7,0.2,0.2,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR001,Product_1,Dairy,142,0,142,11.86,11.86,0.0,0.0,10,12.0,12.0,high,Высокий,3
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR002,Product_2,Household,213,0,213,26.5,26.5,0.0,0.0,10,8.0,8.0,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR003,Product_3,Beverages,100,0,100,8.21,8.21,0.0,0.0,5,12.2,12.2,ok,Норма,5
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR004,Product_4,Beverages,380,0,380,33.0,32.36,1.0,9.0,5,11.5,11.5,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR005,Product_5,Dairy,207,0,207,21.14,21.14,0.0,0.0,5,9.8,9.8,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR006,Product_6,Snacks,30,0,30,25.21,24.36,1.0,12.0,5,1.2,1.2,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR007,Product_7,Dairy,36,0,36,14.93,14.93,0.0,0.0,5,2.4,2.4,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR008,Product_8,Dairy,329,0,329,28.71,26.5,1.0,31.0,10,11.5,11.5,high,Высокий,3
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR009,Product_9,Dairy,0,0,0,6.79,6.0,3.0,11.0,5,0.0,0.0,stockout,Дефицит,1
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR010,Product_10,Dairy,41,336,377,25.29,25.29,0.0,0.0,3,1.6,14.9,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR011,Product_11,Household,220,0,220,20.71,20.57,1.0,2.0,7,10.6,10.6,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR012,Product_12,Beverages,48,0,48,10.21,9.36,2.0,12.0,5,4.7,4.7,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR013,Product_13,Household,33,0,33,16.71,16.5,1.0,3.0,5,2.0,2.0,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR014,Product_14,Household,0,0,0,13.14,12.43,3.0,10.0,10,0.0,0.0,stockout,Дефицит,1
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR015,Product_15,Household,209,0,209,23.43,21.71,1.0,24.0,5,8.9,8.9,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR016,Product_16,Dairy,35,0,35,8.07,7.57,1.0,7.0,5,4.3,4.3,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR017,Product_17,Snacks,216,0,216,20.57,20.57,0.0,0.0,5,10.5,10.5,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR018,Product_18,Beverages,64,294,358,22.29,22.29,0.0,0.0,10,2.9,16.1,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR019,Product_19,Snacks,10,112,122,8.29,7.5,2.0,11.0,5,1.2,14.7,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR020,Product_20,Household,289,0,289,23.43,23.43,0.0,0.0,7,12.3,12.3,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR001,Product_1,Dairy,2,154,156,12.0,12.0,0.0,0.0,10,0.2,13.0,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR002,Product_2,Household,298,0,298,22.71,22.71,0.0,0.0,10,13.1,13.1,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR003,Product_3,Beverages,3,0,3,8.43,7.86,1.0,8.0,5,0.4,0.4,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR004,Product_4,Beverages,0,0,0,32.36,31.07,2.0,18.0,5,0.0,0.0,stockout,Дефицит,1
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR005,Product_5,Dairy,190,0,190,21.86,21.86,0.0,0.0,5,8.7,8.7,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR006,Product_6,Snacks,10,0,10,25.0,25.0,0.0,0.0,5,0.4,0.4,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR007,Product_7,Dairy,9,182,191,13.57,12.86,2.0,10.0,5,0.7,14.1,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR008,Product_8,Dairy,6,0,6,27.07,27.07,0.0,0.0,10,0.2,0.2,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR009,Product_9,Dairy,0,84,84,7.36,6.86,3.0,7.0,5,0.0,11.4,stockout,Дефицит,1
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR010,Product_10,Dairy,32,0,32,25.86,25.86,0.0,0.0,3,1.2,1.2,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR011,Product_11,Household,261,0,261,19.36,19.36,0.0,0.0,7,13.5,13.5,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR012,Product_12,Beverages,4,0,4,10.21,10.21,0.0,0.0,5,0.4,0.4,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR013,Product_13,Household,0,0,0,19.14,18.57,2.0,8.0,5,0.0,0.0,stockout,Дефицит,1
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR014,Product_14,Household,154,0,154,13.0,13.0,0.0,0.0,10,11.8,11.8,high,Высокий,3
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR015,Product_15,Household,0,0,0,23.21,21.79,1.0,20.0,5,0.0,0.0,stockout,Дефицит,1
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR016,Product_16,Dairy,81,0,81,6.93,6.93,0.0,0.0,5,11.7,11.7,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR017,Product_17,Snacks,228,0,228,21.14,21.0,2.0,2.0,5,10.8,10.8,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR018,Product_18,Beverages,80,0,80,23.21,23.21,0.0,0.0,10,3.4,3.4,critical,Критично,2
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR019,Product_19,Snacks,96,0,96,9.43,8.79,1.0,9.0,5,10.2,10.2,medium,Средний,4
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR020,Product_20,Household,0,0,0,25.64,23.21,3.0,34.0,7,0.0,0.0,stockout,Дефицит,1
