snapshot_date,year,month_number,year_month,month_start,store_id,store_name,city,product_id,product_name,category,stock_qty,incoming_qty,expected_available_qty,avg_daily_demand_14d,lead_time_days,days_of_supply,expected_days_of_supply,risk_level,risk_level_ru,review_period_days,safety_days,target_cover_days,target_stock_qty,recommended_qty,estimated_order_cost,priority,priority_label
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR012,Product_12,Beverages,24,0,24,11.14,5,2.2,2.2,critical,Критично,7,2,14,156.0,132.0,8927.16,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR013,Product_13,Household,198,0,198,17.36,5,11.4,11.4,medium,Средний,7,2,14,243.0,45.0,3568.05,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR014,Product_14,Household,154,0,154,13.86,10,11.1,11.1,high,Высокий,7,2,19,263.0,109.0,13305.63,3,Средний
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR015,Product_15,Household,224,0,224,21.0,5,10.7,10.7,medium,Средний,7,2,14,294.0,70.0,3217.2,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR016,Product_16,Dairy,30,0,30,9.07,5,3.3,3.3,critical,Критично,7,2,14,127.0,97.0,8424.45,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR017,Product_17,Snacks,6,252,258,20.14,5,0.3,12.8,critical,Критично,7,2,14,282.0,24.0,2328.24,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR018,Product_18,Beverages,38,0,38,23.07,10,1.6,1.6,critical,Критично,7,2,19,438.0,400.0,10416.0,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR019,Product_19,Snacks,6,112,118,9.21,5,0.7,12.8,critical,Критично,7,2,14,129.0,11.0,1088.78,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST001,Market_1,Kazan,PR020,Product_20,Household,4,0,4,23.57,7,0.2,0.2,critical,Критично,7,2,16,377.0,373.0,15729.41,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR001,Product_1,Dairy,142,0,142,11.86,10,12.0,12.0,high,Высокий,7,2,19,225.0,83.0,10642.26,3,Средний
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR002,Product_2,Household,213,0,213,26.5,10,8.0,8.0,critical,Критично,7,2,19,504.0,291.0,13851.6,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR003,Product_3,Beverages,100,0,100,8.21,5,12.2,12.2,ok,Норма,7,2,14,115.0,15.0,654.6,5,Позже
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR004,Product_4,Beverages,380,0,380,33.0,5,11.5,11.5,medium,Средний,7,2,14,462.0,82.0,3594.88,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR005,Product_5,Dairy,207,0,207,21.14,5,9.8,9.8,medium,Средний,7,2,14,296.0,89.0,5299.95,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR006,Product_6,Snacks,30,0,30,25.21,5,1.2,1.2,critical,Критично,7,2,14,353.0,323.0,28495.06,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR007,Product_7,Dairy,36,0,36,14.93,5,2.4,2.4,critical,Критично,7,2,14,209.0,173.0,13173.95,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR008,Product_8,Dairy,329,0,329,28.71,10,11.5,11.5,high,Высокий,7,2,19,545.0,216.0,12497.76,3,Средний
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR009,Product_9,Dairy,0,0,0,6.79,5,0.0,0.0,stockout,Дефицит,7,2,14,95.0,95.0,9456.3,1,Срочно
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR011,Product_11,Household,220,0,220,20.71,7,10.6,10.6,medium,Средний,7,2,16,331.0,111.0,6435.78,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR012,Product_12,Beverages,48,0,48,10.21,5,4.7,4.7,critical,Критично,7,2,14,143.0,95.0,6424.85,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR013,Product_13,Household,33,0,33,16.71,5,2.0,2.0,critical,Критично,7,2,14,234.0,201.0,15937.29,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR014,Product_14,Household,0,0,0,13.14,10,0.0,0.0,stockout,Дефицит,7,2,19,250.0,250.0,30517.5,1,Срочно
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR015,Product_15,Household,209,0,209,23.43,5,8.9,8.9,medium,Средний,7,2,14,328.0,119.0,5469.24,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR016,Product_16,Dairy,35,0,35,8.07,5,4.3,4.3,critical,Критично,7,2,14,113.0,78.0,6774.3,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR017,Product_17,Snacks,216,0,216,20.57,5,10.5,10.5,medium,Средний,7,2,14,288.0,72.0,6984.72,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR018,Product_18,Beverages,64,294,358,22.29,10,2.9,16.1,critical,Критично,7,2,19,424.0,66.0,1718.64,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST002,Market_2,Moscow,PR020,Product_20,Household,289,0,289,23.43,7,12.3,12.3,medium,Средний,7,2,16,375.0,86.0,3626.62,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR001,Product_1,Dairy,2,154,156,12.0,10,0.2,13.0,critical,Критично,7,2,19,228.0,72.0,9231.84,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR002,Product_2,Household,298,0,298,22.71,10,13.1,13.1,medium,Средний,7,2,19,431.0,133.0,6330.8,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR003,Product_3,Beverages,3,0,3,8.43,5,0.4,0.4,critical,Критично,7,2,14,118.0,115.0,5018.6,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR004,Product_4,Beverages,0,0,0,32.36,5,0.0,0.0,stockout,Дефицит,7,2,14,453.0,453.0,19859.52,1,Срочно
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR005,Product_5,Dairy,190,0,190,21.86,5,8.7,8.7,medium,Средний,7,2,14,306.0,116.0,6907.8,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR006,Product_6,Snacks,10,0,10,25.0,5,0.4,0.4,critical,Критично,7,2,14,350.0,340.0,29994.8,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR008,Product_8,Dairy,6,0,6,27.07,10,0.2,0.2,critical,Критично,7,2,19,514.0,508.0,29392.88,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR009,Product_9,Dairy,0,84,84,7.36,5,0.0,11.4,stockout,Дефицит,7,2,14,103.0,19.0,1891.26,1,Срочно
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR010,Product_10,Dairy,32,0,32,25.86,3,1.2,1.2,critical,Критично,7,2,12,310.0,278.0,10600.14,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR011,Product_11,Household,261,0,261,19.36,7,13.5,13.5,medium,Средний,7,2,16,310.0,49.0,2841.02,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR012,Product_12,Beverages,4,0,4,10.21,5,0.4,0.4,critical,Критично,7,2,14,143.0,139.0,9400.57,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR013,Product_13,Household,0,0,0,19.14,5,0.0,0.0,stockout,Дефицит,7,2,14,268.0,268.0,21249.72,1,Срочно
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR014,Product_14,Household,154,0,154,13.0,10,11.8,11.8,high,Высокий,7,2,19,247.0,93.0,11352.51,3,Средний
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR015,Product_15,Household,0,0,0,23.21,5,0.0,0.0,stockout,Дефицит,7,2,14,325.0,325.0,14937.0,1,Срочно
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR016,Product_16,Dairy,81,0,81,6.93,5,11.7,11.7,medium,Средний,7,2,14,97.0,16.0,1389.6,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR017,Product_17,Snacks,228,0,228,21.14,5,10.8,10.8,medium,Средний,7,2,14,296.0,68.0,6596.68,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR018,Product_18,Beverages,80,0,80,23.21,10,3.4,3.4,critical,Критично,7,2,19,441.0,361.0,9400.44,2,Высокий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR019,Product_19,Snacks,96,0,96,9.43,5,10.2,10.2,medium,Средний,7,2,14,132.0,36.0,3563.28,4,Низкий
2026-09-07,2026,9,2026-09,2026-09-01,ST003,Market_3,Kazan,PR020,Product_20,Household,0,0,0,25.64,7,0.0,0.0,stockout,Дефицит,7,2,16,410.0,410.0,17289.7,1,Срочно
